2016-10-01	268
2016-10-02	402
2016-10-03	007
2016-10-04	873
2016-10-05	312
2016-10-06	626
2016-10-07	370
2016-10-08	307
2016-10-09	737
2016-10-10	031
2016-10-11	868
2016-10-12	459
2016-10-13	422
2016-10-14	538
2016-10-15	811
2016-10-16	251
2016-10-17	245
2016-10-18	109
2016-10-19	097
2016-10-20	204
2016-10-21	918
2016-10-22	529
2016-10-23	701
2016-10-24	472
2016-10-25	929
2016-10-26	209
2016-10-27	837
2016-10-28	859
2016-10-29	649
2016-10-30	612
2016-10-31	573
2016-11-01	397
2016-11-02	991
2016-11-03	944
2016-11-04	702
2016-11-05	315
2016-11-06	916
2016-11-07	305
2016-11-08	758
2016-11-09	663
2016-11-10	763
2016-11-11	999
2016-11-12	047
2016-11-13	444
2016-11-14	798
2016-11-15	982
2016-11-16	362
2016-11-17	417
2016-11-18	779
2016-11-19	326
2016-11-20	939
2016-11-21	077
2016-11-22	755
2016-11-23	419
2016-11-24	833
2016-11-25	196
2016-11-26	393
2016-11-27	258
2016-11-28	875
2016-11-29	687
2016-11-30	269
2016-12-01	027
2016-12-02	003
2016-12-03	366
2016-12-04	330
2016-12-05	609
2016-12-06	993
2016-12-07	672
2016-12-08	351
2016-12-09	213
2016-12-10	377
2016-12-11	523
2016-12-12	807
2016-12-13	148
2016-12-14	847
2016-12-15	911
2016-12-16	157
2016-12-17	165
2016-12-18	845
2016-12-19	272
2016-12-20	571
2016-12-21	688
2016-12-22	121
2016-12-23	313
2016-12-24	477
2016-12-25	107
2016-12-26	667
2016-12-27	698
2016-12-28	153
2016-12-29	619
2016-12-30	440
2016-12-31	178
2017-01-01	468
2017-01-02	036
2017-01-03	830
2017-01-04	799
2017-01-05	891
2017-01-06	103
2017-01-07	503
2017-01-08	591
2017-01-09	289
2017-01-10	264
2017-01-11	620
2017-01-12	068
2017-01-13	512
2017-01-14	208
2017-01-15	243
2017-01-16	992
2017-01-17	902
2017-01-18	439
2017-01-19	660
2017-01-20	850
2017-01-21	147
2017-01-22	164
2017-01-23	328
2017-01-24	376
2017-01-25	662
2017-01-26	534
2017-01-27	718
2017-01-28	670
2017-01-29	848
2017-01-30	432
2017-01-31	255
2017-02-01	177
2017-02-02	780
2017-02-03	589
2017-02-04	504
2017-02-05	342
2017-02-06	601
2017-02-07	887
2017-02-08	951
2017-02-09	234
2017-02-10	651
2017-02-11	059
2017-02-12	733
2017-02-13	183
2017-02-14	009
2017-02-15	945
2017-02-16	627
2017-02-17	151
2017-02-18	273
2017-02-19	516
2017-02-20	260
2017-02-21	941
2017-02-22	235
2017-02-23	747
2017-02-24	624
2017-02-25	303
2017-02-26	149
2017-02-27	816
2017-02-28	869
2017-03-01	494
2017-03-02	829
2017-03-03	812
2017-03-04	384
2017-03-05	893
2017-03-06	890
2017-03-07	175
2017-03-08	473
2017-03-09	674
2017-03-10	035
2017-03-11	528
2017-03-12	185
2017-03-13	791
2017-03-14	854
2017-03-15	099
2017-03-16	375
2017-03-17	460
2017-03-18	388
2017-03-19	653
2017-03-20	950
2017-03-21	309
2017-03-22	514
2017-03-23	618
2017-03-24	116
2017-03-25	724
2017-03-26	174
2017-03-27	227
2017-03-28	456
2017-03-29	499
2017-03-30	966
2017-03-31	225
2017-04-01	858
2017-04-02	200
2017-04-03	773
2017-04-04	865
2017-04-05	648
2017-04-06	855
2017-04-07	640
2017-04-08	922
2017-04-09	064
2017-04-10	218
2017-04-11	462
2017-04-12	545
2017-04-13	053
2017-04-14	117
2017-04-15	012
2017-04-16	001
2017-04-17	266
2017-04-18	607
2017-04-19	728
2017-04-20	915
2017-04-21	683
2017-04-22	308
2017-04-23	754
2017-04-24	427
2017-04-25	995
2017-04-26	572
2017-04-27	809
2017-04-28	882
2017-04-29	373
2017-04-30	863
2017-05-01	428
2017-05-02	433
2017-05-03	112
2017-05-04	076
2017-05-05	565
2017-05-06	431
2017-05-07	052
2017-05-08	828
2017-05-09	188
2017-05-10	699
2017-05-11	502
2017-05-12	033
2017-05-13	725
2017-05-14	166
2017-05-15	849
2017-05-16	789
2017-05-17	219
2017-05-18	471
2017-05-19	221
2017-05-20	507
2017-05-21	404
2017-05-22	073
2017-05-23	446
2017-05-24	372
2017-05-25	574
2017-05-26	983
2017-05-27	713
2017-05-28	764
2017-05-29	356
2017-05-30	659
2017-05-31	421
2017-06-01	020
2017-06-02	611
2017-06-03	257
2017-06-04	544
2017-06-05	360
2017-06-06	418
2017-06-07	192
2017-06-08	127
2017-06-09	252
2017-06-10	349
2017-06-11	841
2017-06-12	341
2017-06-13	656
2017-06-14	423
2017-06-15	881
2017-06-16	530
2017-06-17	229
2017-06-18	874
2017-06-19	311
2017-06-20	844
2017-06-21	839
2017-06-22	124
2017-06-23	415
2017-06-24	748
2017-06-25	301
2017-06-26	920
2017-06-27	814
2017-06-28	049
2017-06-29	028
2017-06-30	555
2017-07-01	488
2017-07-02	079
2017-07-03	013
2017-07-04	955
2017-07-05	078
2017-07-06	463
2017-07-07	678
2017-07-08	498
2017-07-09	247
2017-07-10	122
2017-07-11	359
2017-07-12	083
2017-07-13	141
2017-07-14	469
2017-07-15	641
2017-07-16	947
2017-07-17	938
2017-07-18	089
2017-07-19	283
2017-07-20	060
2017-07-21	592
2017-07-22	562
2017-07-23	072
2017-07-24	910
2017-07-25	765
2017-07-26	205
2017-07-27	242
2017-07-28	826
2017-07-29	197
2017-07-30	548
2017-07-31	786
2017-08-01	290
2017-08-02	333
2017-08-03	173
2017-08-04	597
2017-08-05	199
2017-08-06	637
2017-08-07	958
2017-08-08	743
2017-08-09	139
2017-08-10	288
2017-08-11	125
2017-08-12	766
2017-08-13	741
2017-08-14	265
2017-08-15	888
2017-08-16	232
2017-08-17	248
2017-08-18	556
2017-08-19	987
2017-08-20	806
2017-08-21	380
2017-08-22	140
2017-08-23	135
2017-08-24	466
2017-08-25	062
2017-08-26	736
2017-08-27	011
2017-08-28	037
2017-08-29	870
2017-08-30	454
2017-08-31	451
2017-09-01	599
2017-09-02	808
2017-09-03	666
2017-09-04	886
2017-09-05	215
2017-09-06	156
2017-09-07	931
2017-09-08	644
2017-09-09	481
2017-09-10	908
2017-09-11	181
2017-09-12	123
2017-09-13	042
2017-09-14	155
2017-09-15	899
2017-09-16	030
2017-09-17	281
2017-09-18	817
2017-09-19	541
2017-09-20	250
2017-09-21	796
2017-09-22	924
2017-09-23	390
2017-09-24	711
2017-09-25	852
2017-09-26	435
2017-09-27	561
2017-09-28	443
2017-09-29	971
2017-09-30	032
2017-10-01	673
2017-10-02	965
2017-10-03	029
